user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,churn_numeric,engagement_score,payment_reliability,support_intensity,recency_risk
1,2023-04-15,Premium,699,1.1,4,1,8,14,Yes,1,0.1375,0.5,0.5,1.75
2,2023-08-27,Premium,699,2.6,6,0,35,1,Yes,1,0.07428571428571429,1.0,0.17142857142857143,0.02857142857142857
3,2023-10-12,Premium,699,14.3,8,3,2,14,Yes,1,7.15,0.25,4.0,7.0
4,2023-12-11,Basic,199,17.6,5,2,11,9,Yes,1,1.6,0.3333333333333333,0.45454545454545453,0.8181818181818182
5,2023-02-14,Basic,199,9.8,5,2,6,38,Yes,1,1.6333333333333335,0.3333333333333333,0.8333333333333334,6.333333333333333
6,2024-10-05,Premium,699,13.6,6,0,30,35,Yes,1,0.4533333333333333,1.0,0.2,1.1666666666666667
7,2023-10-24,Premium,699,14.6,1,0,24,42,Yes,1,0.6083333333333333,1.0,0.041666666666666664,1.75
8,2024-01-09,Basic,199,21.7,6,2,15,29,Yes,1,1.4466666666666665,0.3333333333333333,0.4,1.9333333333333333
9,2023-03-15,Basic,199,9.2,4,5,24,59,Yes,1,0.3833333333333333,0.16666666666666666,0.16666666666666666,2.4583333333333335
10,2024-10-17,Premium,699,13.6,3,1,11,29,No,0,1.2363636363636363,0.5,0.2727272727272727,2.6363636363636362
11,2023-11-20,Premium,699,5.9,5,0,36,14,No,0,0.1638888888888889,1.0,0.1388888888888889,0.3888888888888889
12,2024-10-20,Standard,399,2.1,5,1,18,41,Yes,1,0.11666666666666667,0.5,0.2777777777777778,2.2777777777777777
13,2024-08-21,Standard,399,7.0,3,5,10,35,Yes,1,0.7,0.16666666666666666,0.3,3.5
14,2023-02-18,Standard,399,9.4,2,4,26,31,Yes,1,0.36153846153846153,0.2,0.07692307692307693,1.1923076923076923
15,2024-09-02,Basic,199,15.9,6,4,10,4,Yes,1,1.59,0.2,0.6,0.4
16,2024-11-29,Standard,399,6.7,8,0,34,43,No,0,0.19705882352941176,1.0,0.23529411764705882,1.2647058823529411
17,2024-04-09,Premium,699,19.3,5,0,18,18,No,0,1.0722222222222222,1.0,0.2777777777777778,1.0
18,2024-10-02,Basic,199,24.3,2,4,17,58,Yes,1,1.4294117647058824,0.2,0.11764705882352941,3.411764705882353
19,2024-06-27,Standard,399,15.4,2,2,33,48,Yes,1,0.4666666666666667,0.3333333333333333,0.06060606060606061,1.4545454545454546
20,2023-11-11,Basic,199,12.5,1,2,21,56,No,0,0.5952380952380952,0.3333333333333333,0.047619047619047616,2.6666666666666665
21,2023-03-12,Basic,199,6.4,1,0,4,46,No,0,1.6,1.0,0.25,11.5
22,2024-09-13,Premium,699,3.6,7,4,9,10,Yes,1,0.4,0.2,0.7777777777777778,1.1111111111111112
23,2024-11-18,Standard,399,23.3,3,5,14,19,No,0,1.6642857142857144,0.16666666666666666,0.21428571428571427,1.3571428571428572
24,2023-03-07,Premium,699,11.2,8,3,24,7,Yes,1,0.4666666666666666,0.25,0.3333333333333333,0.2916666666666667
25,2024-12-25,Standard,399,14.9,3,4,2,14,Yes,1,7.45,0.2,1.5,7.0
26,2023-10-13,Premium,699,6.1,0,2,4,4,No,0,1.525,0.3333333333333333,0.0,1.0
27,2024-08-13,Premium,699,5.7,2,5,32,59,No,0,0.178125,0.16666666666666666,0.0625,1.84375
28,2024-03-17,Standard,399,19.7,6,1,16,6,Yes,1,1.23125,0.5,0.375,0.375
29,2023-04-11,Standard,399,10.6,0,5,28,41,No,0,0.37857142857142856,0.16666666666666666,0.0,1.4642857142857142
30,2024-04-04,Basic,199,18.3,1,1,26,12,No,0,0.7038461538461539,0.5,0.038461538461538464,0.46153846153846156
31,2024-03-29,Basic,199,5.0,7,1,28,55,No,0,0.17857142857142858,0.5,0.25,1.9642857142857142
32,2023-08-31,Premium,699,1.7,8,0,7,5,No,0,0.24285714285714285,1.0,1.1428571428571428,0.7142857142857143
33,2024-01-24,Basic,199,12.4,3,3,27,57,Yes,1,0.45925925925925926,0.25,0.1111111111111111,2.111111111111111
34,2024-07-23,Basic,199,7.0,7,2,25,27,Yes,1,0.28,0.3333333333333333,0.28,1.08
35,2024-07-09,Premium,699,4.3,4,1,32,3,No,0,0.134375,0.5,0.125,0.09375
36,2023-06-11,Basic,199,1.9,7,4,21,58,Yes,1,0.09047619047619047,0.2,0.3333333333333333,2.761904761904762
37,2023-08-29,Basic,199,2.5,2,0,33,38,Yes,1,0.07575757575757576,1.0,0.06060606060606061,1.1515151515151516
38,2023-03-25,Standard,399,23.6,3,4,8,38,Yes,1,2.95,0.2,0.375,4.75
39,2023-09-02,Standard,399,8.3,4,1,34,42,No,0,0.24411764705882355,0.5,0.11764705882352941,1.2352941176470589
40,2023-03-16,Standard,399,3.7,4,3,26,20,No,0,0.1423076923076923,0.25,0.15384615384615385,0.7692307692307693
41,2023-09-29,Basic,199,15.7,1,0,30,34,Yes,1,0.5233333333333333,1.0,0.03333333333333333,1.1333333333333333
42,2024-07-10,Basic,199,22.1,3,2,23,18,Yes,1,0.9608695652173914,0.3333333333333333,0.13043478260869565,0.782608695652174
43,2023-11-03,Premium,699,15.5,8,0,20,42,No,0,0.775,1.0,0.4,2.1
44,2024-07-20,Premium,699,23.5,2,2,7,7,No,0,3.357142857142857,0.3333333333333333,0.2857142857142857,1.0
45,2024-10-11,Basic,199,7.4,3,5,18,21,Yes,1,0.41111111111111115,0.16666666666666666,0.16666666666666666,1.1666666666666667
46,2023-10-11,Standard,399,12.5,0,0,33,40,No,0,0.3787878787878788,1.0,0.0,1.2121212121212122
47,2024-03-28,Basic,199,8.7,2,5,1,16,Yes,1,8.7,0.16666666666666666,2.0,16.0
48,2023-06-02,Premium,699,14.2,1,0,28,60,No,0,0.5071428571428571,1.0,0.03571428571428571,2.142857142857143
49,2023-11-12,Premium,699,20.9,8,1,3,27,Yes,1,6.966666666666666,0.5,2.6666666666666665,9.0
50,2023-12-29,Standard,399,22.5,3,5,3,15,No,0,7.5,0.16666666666666666,1.0,5.0
51,2023-07-01,Premium,699,24.4,2,1,27,55,Yes,1,0.9037037037037037,0.5,0.07407407407407407,2.037037037037037
52,2023-09-12,Standard,399,4.9,5,3,2,51,Yes,1,2.45,0.25,2.5,25.5
53,2024-04-26,Standard,399,19.8,1,3,11,55,Yes,1,1.8,0.25,0.09090909090909091,5.0
54,2023-08-22,Basic,199,20.5,7,2,13,19,No,0,1.5769230769230769,0.3333333333333333,0.5384615384615384,1.4615384615384615
55,2023-10-13,Basic,199,16.7,6,2,2,17,No,0,8.35,0.3333333333333333,3.0,8.5
56,2023-09-25,Standard,399,10.3,8,2,33,60,Yes,1,0.31212121212121213,0.3333333333333333,0.24242424242424243,1.8181818181818181
57,2024-03-22,Basic,199,1.4,6,2,17,46,Yes,1,0.08235294117647059,0.3333333333333333,0.35294117647058826,2.7058823529411766
58,2023-01-02,Premium,699,3.3,3,2,33,2,No,0,0.09999999999999999,0.3333333333333333,0.09090909090909091,0.06060606060606061
59,2024-11-11,Premium,699,17.3,3,2,35,27,Yes,1,0.49428571428571433,0.3333333333333333,0.08571428571428572,0.7714285714285715
60,2023-11-13,Standard,399,16.8,1,5,21,57,Yes,1,0.8,0.16666666666666666,0.047619047619047616,2.7142857142857144
61,2024-11-11,Premium,699,8.5,4,4,27,8,Yes,1,0.3148148148148148,0.2,0.14814814814814814,0.2962962962962963
62,2023-11-08,Standard,399,15.6,4,3,12,35,No,0,1.3,0.25,0.3333333333333333,2.9166666666666665
63,2023-08-07,Standard,399,11.0,5,3,14,28,Yes,1,0.7857142857142857,0.25,0.35714285714285715,2.0
64,2024-11-10,Premium,699,19.9,2,5,31,5,Yes,1,0.6419354838709677,0.16666666666666666,0.06451612903225806,0.16129032258064516
65,2023-07-23,Premium,699,2.8,3,5,22,19,Yes,1,0.12727272727272726,0.16666666666666666,0.13636363636363635,0.8636363636363636
